5,0,250,250,250,250,250,250,250,250,250,250
5,1,796,796,796,796,796,796,796,796,796,796
5,2,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316
5,3,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820
5,4,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330
5,5,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861
5,6,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438
5,7,3967,3967,3967,3967,3967,3967,3967,3967,3967,3967
5,8,4482,4482,4482,4482,4482,4482,4482,4482,4482,4482
5,9,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130
5,10,5556,5556,5556,5556,5556,5556,5556,5556,5556,5556
5,11,5797,5793,5626,5685,5740,5598,5833,5614,5726,5692
5,12,5324,5324,5324,5324,5324,5324,5324,5324,5324,5324
5,13,5093,5093,5093,5093,5093,5093,5093,5093,5093,5093
